num,Time
1,0.00000122
2,0.00000125
3,0.000001288
4,0.000001278
5,0.000001242
6,0.000001268
7,0.000001264
8,0.000001294
9,0.00000128
10,0.000001268
11,0.000001254
12,0.000001276
13,0.000001292
14,0.000001384
15,0.00000126
16,0.000001256
17,0.000001248
18,0.000001282
19,0.000001262
20,0.000001258
21,0.000001256
22,0.000001306
23,0.00000128
24,0.000001252
25,0.00000132
26,0.000001276
27,0.000001246
28,0.00000129
29,0.000001274
30,0.000001312
31,0.000001296
32,0.000001268
33,0.000001264
34,0.000001282
35,0.000001242
36,0.000001246
37,0.000001258
38,0.000001298
39,0.000001244
40,0.000001274
41,0.000001238
42,0.000001278
43,0.000001288
44,0.000001314
45,0.000001302
46,0.00000128
47,0.00000124
48,0.000001312
49,0.000001268
50,0.000001244
51,0.000001234
52,0.000001256
53,0.000001332
54,0.000001302
55,0.000001246
56,0.000001248
57,0.000001246
58,0.000001294
59,0.000001254
60,0.00000126
61,0.000001246
62,0.000001246
63,0.000001282
64,0.000001256
65,0.000001246
66,0.000001236
67,0.00000124
68,0.000001298
69,0.000001252
70,0.000001274
71,0.000001294
72,0.000001258
73,0.000001288
74,0.00000128
75,0.00000131
76,0.000001256
77,0.000001256
78,0.00000132
79,0.000001296
80,0.00000125
81,0.000001238
82,0.000001242
83,0.000001272
84,0.000001262
85,0.000001236
86,0.000001236
87,0.000001244
88,0.000001282
89,0.000001258
90,0.000001256
91,0.00000123
92,0.000001258
93,0.000001282
94,0.00000125
95,0.00000124
96,0.000001242
97,0.000001246
98,0.00000128
99,0.000001268
100,0.000001248
101,0.000001266
102,0.000001244
103,0.000001314
104,0.000001256
105,0.00000125
106,0.00000123
107,0.00000124
108,0.000001272
109,0.000001278
110,0.000001294
111,0.00000125
112,0.00000125
113,0.000001292
114,0.000001248
115,0.000001276
116,0.000001236
117,0.000001304
118,0.000001326
119,0.00000125
120,0.000001258
121,0.000001234
122,0.000001242
123,0.000001274
124,0.000001284
125,0.000001276
126,0.000001238
127,0.00000125
128,0.000001286
129,0.000001332
130,0.000001248
131,0.000001224
132,0.000001258
133,0.000001272
134,0.000001272
135,0.000001254
136,0.000001256
137,0.000001246
138,0.000001288
139,0.000001294
140,0.000001272
141,0.000001486
142,0.000001282
143,0.000001384
144,0.000001294
145,0.000001274
146,0.000001254
147,0.00000126
148,0.00000133
149,0.000001312
150,0.000001274
151,0.000001236
152,0.000001264
153,0.000001364
154,0.000001282
155,0.000001266
156,0.000001248
157,0.00000127
158,0.000001342
159,0.000001276
160,0.00000125
161,0.00000123
162,0.00000125
163,0.000001288
164,0.000001262
165,0.000001272
166,0.000001228
167,0.000001246
168,0.000001312
169,0.000001272
170,0.00000128
171,0.000001226
172,0.000001278
173,0.000001282
174,0.000001334
175,0.000001264
176,0.000001254
177,0.000001272
178,0.000001314
179,0.000001304
180,0.000001278
181,0.000001274
182,0.00000127
183,0.000001346
184,0.00000128
185,0.00000125
186,0.00000124
187,0.000001274
188,0.000001304
189,0.00000128
190,0.000001256
191,0.000001224
192,0.000001256
193,0.00000134
194,0.000001274
195,0.000001256
196,0.000001242
197,0.000001282
198,0.000001304
199,0.000001262
200,0.000001278
201,0.000001256
